Kanton;Kürzel;Kantonsnummer;Standesstimme;Beitritt;Hauptort;Einwohner;Ausländer;Fläche;Einwohnerdichte;Amtssprache;Gemeinden
Zürich;ZH;1;1.0;1351;Zürich;1408575;25.0;1729.0;815.0;deutsch;Affoltern am Albis, Buchs (ZH), Winkel, Höri, Benken (ZH), Hausen am Albis, Schönenberg (ZH), Flurlingen, Dorf, Grüningen, Männedorf, Hettlingen, Wettswil am Albis, Dietlikon, Rorbas, Russikon, Laufen-Uhwiesen, Neftenbach, Aeugst am Albis, Steinmaur, Adlikon, Rheinau, Seegräben, Nürensdorf, Ottenbach, Bülach, Wädenswil, Hagenbuch, Kloten, Schleinikon, Oetwil am See, Fällanden, Rafz, Richterswil, Waltalingen, Weisslingen, Weiningen (ZH), Wiesendangen, Volketswil, Stadel, Kyburg, Dättlikon, Rifferswil, Wallisellen, Zell (ZH), Wildberg, Buch am Irchel, Ellikon an der Thur, Adliswil, Boppelsen, Weiach, Oberrieden, Oberembrach, Mönchaltorf, Schlieren, Henggart, Altikon, Truttikon, Oberengstringen, Geroldswil, Wil (ZH), Bachs, Neerach, Fischenthal, Uetikon am See, Uitikon, Embrach, Schlatt (ZH), Opfikon, Greifensee, Bassersdorf, Dägerlen, Otelfingen, Pfungen, Regensdorf, Birmensdorf (ZH), Meilen, Dürnten, Stäfa, Thalheim an der Thur, Rüti (ZH), Berg am Irchel, Flaach, Elsau, Stallikon, Niederglatt, Hüttikon, Feuerthalen, Andelfingen, Wasterkingen, Horgen, Kappel am Albis, Unterstammheim, Eglisau, Brütten, Urdorf, Hofstetten (ZH), Hombrechtikon, Schwerzenbach, Hüntwangen, Regensberg, Herrliberg, Dübendorf, Bonstetten, Schöfflisdorf, Zürich, Hittnau, Turbenthal, Humlikon, Illnau-Effretikon, Winterthur, Thalwil, Küsnacht (ZH), Obfelden, Rüschlikon, Knonau, Oetwil an der Limmat, Uster, Kilchberg (ZH), Rümlang, Aesch (ZH), Oberweningen, Fehraltorf, Dällikon, Oberglatt, Freienstein-Teufen, Dielsdorf, Dietikon, Maur, Niederweningen, Lufingen, Hinwil, Pfäffikon, Wald (ZH), Wetzikon (ZH), Erlenbach (ZH), Gossau (ZH), Seuzach, Dachsen, Wangen-Brüttisellen, Hochfelden, Oberstammheim, Unterengstringen, Maschwanden, Dänikon, Sternenberg, Bachenbülach, Bäretswil, Hirzel, Kleinandelfingen, Hedingen, Elgg, Dinhard, Marthalen, Bubikon, Egg, Rickenbach (ZH), Volken, Zollikon, Niederhasli, Zumikon, Lindau, Langnau am Albis, Ossingen, Trüllikon, Hütten, Glattfelden, Bauma, Wila, Mettmenstetten
Bern;BE;2;1.0;1353;Bern;992617;13.8;5959.0;167.0;deutsch, französisch;Kallnach, Biel/Bienne, Saxeten, Interlaken, Linden, Tägertschi, Kiesen, Oberdiessbach, Wiedlisbach, Bannwil, Rohrbach, Neuenegg, Corcelles (BE), Schelten, Niederbipp, Lütschental, Rubigen, Wohlen bei Bern, Walliswil bei Niederbipp, Aarwangen, Busswil bei Melchnau, Lengnau (BE), Horrenbach-Buchen, Attiswil, Bätterkinden, Rumisberg, Arni (BE), Niederönz, Brienz (BE), Häutligen, Safnern, Hasliberg, Huttwil, Aefligen, Ochlenberg, Ostermundigen, Meinisberg, Homberg, Forst-Längenbühl, Zweisimmen, Ringgenberg (BE), Lützelflüh, Finsterhennen, Zollikofen, Fraubrunnen, Sumiswald, Iseltwald, Niederösch, Herbligen, Sigriswil, Seedorf (BE), Wynigen, Corgémont, Madiswil, Därstetten, Hofstetten bei Brienz, Nods, Burgistein, Tavannes, Aeschi bei Spiez, Villeret, Röthenbach im Emmental, Crémines, Toffen, Lyssach, Müntschemier, Wileroltigen, Jegenstorf, Habkern, Bévilard, Seeberg, Bowil, Roggwil (BE), Kirchberg (BE), Bargen (BE), Erlach, Moutier, Oberhofen am Thunersee, Malleray, Châtelat, Schwendibach, Meikirch, Diessbach bei Büren, Péry, Vechigen, Iffwil, Ittigen, Rüti bei Büren, Scheuren, Rütschelen, Langnau im Emmental, Buchholterberg, Lotzwil, Meienried, Wilderswil, Wiler bei Utzenstorf, Thunstetten, Pieterlen, Loveresse, Oeschenbach, Wyssachen, Kandersteg, Därligen, Höchstetten, Oberburg, Brienzwiler, Kernenried, Mattstetten, Dotzigen, Boltigen, Inkwil, Zwieselberg, Mirchel, Allmendingen, Berken, Kandergrund, Bäriswil, Zielebach, Ipsach, Stocken-Höfen, Muri bei Bern, Sonceboz-Sombeval, Ligerz, Laupen, Pohlern, Graben, Ferenbalm, Ins, Tramelan, La Neuveville, Farnern, Oberwil bei Büren, Bühl, Alchenstorf, Souboz, Wangen an der Aare, Diemerswil, Studen (BE), Heimiswil, Schüpfen, Wattenwil, Herzogenbuchsee, Eggiwil, Rüderswil, Bangerten, Lenk, Gelterfingen, Gerzensee, Oberösch, Court, Orpund, Grosshöchstetten, Eriswil, Niederried bei Interlaken, Saules (BE), Schangnau, Schattenhalb, Bolligen, Tschugg, Saint-Imier, Utzenstorf, Kirchdorf (BE), Orvin, Zäziwil, Adelboden, Biglen, Unterlangenegg, Deisswil bei Münchenbuchsee, Kirchenthurnen, Blumenstein, Rüegsau, Affoltern im Emmental, Niederhünigen, Merzligen, Schlosswil, Port, Rüschegg, Mühlethurnen, Wangenried, Krauchthal, Sonvilier, Gündlischwand, Wiggiswil, Romont (BE), Vinelz, Fahrni, Gurzelen, Oberlangenegg, Moosseedorf, Gurbrü, Brügg, Beatenberg, Plateau de Diesse, Eschert, Bönigen, Oberthal, Thun, Bleienbach, Seehof, La Heutte, Walliswil bei Wangen, Arch, Cortébert, Erlenbach im Simmental, Eriz, Leuzigen, Leissigen, Guttannen, Rüti bei Lyssach, Heiligenschwendi, Guggisberg, Aegerten, Matten bei Interlaken, Ersigen, Worben, Mörigen, Uebeschi, Cormoret, Sauge, Diemtigen, Jaberg, Worb, Gondiswil, Wichtrach, Dürrenroth, Zuzwil (BE), Wynau, Lohnstorf, Bettenhausen, Innertkirchen, Gsteig, Steffisburg, Koppigen, Frutigen, Oberhünigen, Rüdtligen-Alchenflüh, Stettlen, Hilterfingen, Krattigen, Landiswil, Freimettigen, Oberwil im Simmental, Rumendingen, Münsingen, Trachselwald, Mühleberg, Kirchlindach, Unterseen, Meiringen, Pontenet, Wengi, Konolfingen, Kappelen, Wolfisberg, Rohrbachgraben, Mont-Tramelan, Saicourt, Oppligen, Büren an der Aare, Urtenen-Schönbühl, Champoz, Sorvilier, Uetendorf, Lauenen, Spiez, Treiten, Seftigen, Niedermuhlern, Trubschachen, Wachseldorn, Oberbipp, Büetigen, Täuffelen, Twann-Tüscherz, Hasle bei Burgdorf, Belp, Hindelbank, Münchenwiler, Rüeggisberg, Hellsau, Köniz, Heimenhausen, Gampelen, Melchnau, Schwanden bei Brienz, Hermrigen, Rümligen, Kehrsatz, Thierachern, Auswil, Grandval, Roches (BE), Riggisberg, Golaten, Signau, Bern, Lauperswil, La Ferrière, Reutigen, Lyss, Kaufdorf, Oberbalm, Hagneck, Lüscherz, Lauterbrunnen, Teuffenthal (BE), Rapperswil (BE), Brüttelen, Siselen, Sornetan, Trub, Mühledorf (BE), Evilard, Burgdorf, Mötschwil, Brenzikofen, Radelfingen, Reconvilier, Jens, Schwarzenburg, Schwarzhäusern, Frauenkappelen, Courtelary, Gals, Epsach, Aarberg, Bellmund, Amsoldingen, Langenthal, Kriechenwil, Walperswil, Schwadernau, Monible, Heimberg, Thörigen, Saanen, Clavaleyres, Obersteckholz, Bremgarten bei Bern, Noflen, Reisiswil, Walkringen, Rebévelier, Wimmis, Gsteigwiler, Sutz-Lattrigen, Ursenbach, Nidau, Renan (BE), Grossaffoltern, Uttigen, Oberried am Brienzersee, Münchenbuchsee, Walterswil (BE), St. Stephan, Willadingen, Grindelwald, Belprahon, Hermiswil, Reichenbach im Kandertal, Perrefitte, Wald (BE)
Luzern;LU;3;1.0;1332;Luzern;386082;16.8;1493.0;259.0;deutsch;Kriens, Inwil, Grossdietwil, Luzern, Zell (LU), Rain, Geuensee, Romoos, Hasle (LU), Horw, Schlierbach, Flühli, Altwis, Emmen, Altbüron, Buttisholz, Entlebuch, Ermensee, Triengen, Meierskappel, Wauwil, Hohenrain, Buchrain, Schenkon, Werthenstein, Wikon, Sempach, Malters, Rothenburg, Honau, Alberswil, Egolzwil, Schongau, Hergiswil bei Willisau, Pfaffnau, Luthern, Nottwil, Eich, Eschenbach (LU), Ruswil, Grosswangen, Escholzmatt-Marbach, Mauensee, Vitznau, Root, Sursee, Ufhusen, Roggliswil, Willisau, Aesch (LU), Adligenswil, Rickenbach (LU), Greppen, Beromünster, Hochdorf, Altishofen, Doppleschwand, Büron, Weggis, Gettnau, Reiden, Schwarzenberg, Knutwil, Dagmersellen, Oberkirch, Ballwil, Wolhusen, Römerswil, Schötz, Dierikon, Hitzkirch, Ebersecken, Menznau, Ettiswil, Udligenswil, Meggen, Fischbach, Gisikon, Neuenkirch, Hildisrieden, Schüpfheim, Ebikon, Nebikon
Uri;UR;4;1.0;1291;Altdorf;35693;10.7;1077.0;33.0;deutsch;Bürglen (UR), Isenthal, Erstfeld, Silenen, Seedorf (UR), Wassen, Bauen, Gurtnellen, Schattdorf, Altdorf (UR), Göschenen, Seelisberg, Unterschächen, Sisikon, Attinghausen, Flüelen, Realp, Hospental, Spiringen, Andermatt
Schwyz;SZ;5;1.0;1291;Schwyz;149830;19.3;908.0;165.0;deutsch;Oberiberg, Steinen, Morschach, Unteriberg, Illgau, Einsiedeln, Innerthal, Lauerz, Schwyz, Wangen (SZ), Sattel, Rothenthurm, Vorderthal, Ingenbohl, Tuggen, Reichenburg, Schübelbach, Alpthal, Wollerau, Riemenstalden, Küssnacht (SZ), Arth, Gersau, Altendorf, Galgenen, Lachen, Muotathal, Freienbach, Steinerberg, Feusisberg
Obwalden;OW;6;0.5;1291;Sarnen;36115;13.6;491.0;74.0;deutsch;Kerns, Lungern, Sachseln, Alpnach, Engelberg, Sarnen, Giswil
Nidwalden;NW;7;0.5;1291;Stans;41584;12.6;276.0;151.0;deutsch;Beckenried, Dallenwil, Hergiswil (NW), Wolfenschiessen, Stansstad, Oberdorf (NW), Buochs, Ennetmoos, Emmetten, Ennetbürgen, Stans
Glarus;GL;8;1.0;1352;Glarus;39369;21.8;685.0;57.0;deutsch;Glarus Nord, Glarus, Glarus Süd
Zug;ZG;9;1.0;1352;Zug;116575;25.6;239.0;488.0;deutsch;Oberägeri, Unterägeri, Steinhausen, Walchwil, Neuheim, Zug, Baar, Hünenberg, Risch, Menzingen, Cham
Freiburg;FR;10;1.0;1481;Freiburg;291395;20.6;1671.0;174.0;französisch, deutsch;Plaffeien, Misery-Courtion, Murten, Châtel-sur-Montsalvens, Ménières, Bossonnens, Autafond, Lully (FR), Fribourg, Giffers, Pierrafortscha, Villorsonnens, Rue, Hauteville, Wünnewil-Flamatt, Tafers, Haut-Intyamon, Treyvaux, Sévaz, Gletterens, Villarepos, Ursy, Sâles, Ferpicloz, Le Pâquier (FR), Neyruz (FR), Attalens, Senèdes, Delley-Portalban, Wallenried, Granges (Veveyse), Montet (Glâne), Grangettes, Granges-Paccot, Villars-sur-Glâne, Noréaz, Courgevaux, Courlevon, Plasselb, Chénens, Estavayer-le-Lac, Ueberstorf, Ulmiz, Schmitten (FR), Grandvillard, Gurmels, Rechthalten, Oberschrot, Pont-en-Ogoz, Kleinbösingen, Bösingen, Murist, Vuisternens-devant-Romont, Brünisried, Ecublens (FR), Echarlens, Saint-Aubin (FR), Châtonnaye, Riaz, Morlon, Meyriez, Saint-Martin (FR), Bussy (FR), Cheiry, St. Silvester, Vuissens, Villarsel-sur-Marly, Ried bei Kerzers, Galmiz, Jaun, Remaufens, Ponthaux, Bas-Intyamon, Ependes (FR), Gempenach, Dompierre (FR), Marly, Vernay, Rossens (FR), Hauterive (FR), Cugy (FR), Barberêche, Crésuz, Greng, Surpierre, Châtillon (FR), Bas-Vully, Muntelier, Alterswil, Arconciel, Le Mouret, La Folliaz, Vallon, Düdingen, Rueyres-les-Prés, Val-de-Charmey, Le Glèbe, Le Flon, La Verrerie, Fräschels, Corserey, Grolley, Auboranges, Corminboeuf, Marsens, Salvenach, Vuisternens-en-Ogoz, Lurtigen, Russy, La Sonnaz, Heitenried, Pont-la-Ville, Broc, Corbières, Mézières (FR), Cheyres, Villeneuve (FR), Kerzers, Semsales, Châbles, Gruyères, Châtel-Saint-Denis, Chésopelloz, Cressier (FR), Vuadens, Massonnens, Billens-Hennens, Cottens (FR), Fétigny, Chapelle (Glâne), La Brillaz, Morens (FR), Prévondavaux, Botterens, Sorens, Courtepin, Villaz-Saint-Pierre, Bulle, Corpataux-Magnedens, Prez-vers-Noréaz, Nuvilly, St. Antoni, Zumholz, Romont (FR), Haut-Vully, Le Châtelard, Avry, Matran, Vaulruz, Givisiez, St. Ursen, Jeuss, Farvagny, Tentlingen, Autigny, Belfaux, La Roche, Léchelles, Les Montets, Domdidier, Siviriez, Torny, Montagny (FR)
